Nama Produk;Kode Produk;Harga Jual;Harga Modal;Fee Reseller (%);Fee Affilator (%)
TOMAT BUAH 150 gr;CR4MACVY;2;13;12;7
TOMAT BUAH 250 gr;CI9AKUON;3;1950;12;7
TOMAT BUAH 50 gr;82U11AGX;5;325;12;7
TOMAT BUAH 5 gr;CGTAXPTE;6;39;12;7
TOMAT BUAH BULKY 20 KG;UIIUXWNS;216;1404;5;3
TOMAT CHERRY 1 KG;VS7EOIXZ;25;16250;10;6
TOMAT CHERRY 1 gr;4GEW12NZ;25;1625;12;7
TOMAT CHERRY 250 gr;FB24JCIE;65;4225;12;7
TOMAT CHERRY 5 gr;B3TPKDTE;125;8125;10;6
TOMAT CHERRY BULKY 5 KG;46EHTJNQ;1125;73125;5;3
Tomat Merah Segar 1kg;TOMATMERAH1KG-2A20;16;104;6;4
TOMAT SERVO 1 KG;VNIZMF27;10;65;10;6
TOMAT SERVO 1 gr;FKLFKGVQ;1;650;12;7
TOMAT SERVO 150 gr;QO91HGSU;15;975;12;7
TOMAT SERVO 250 gr;VENJ0RCO;25;1625;12;7
TOMAT SERVO 50 gr;HYQM18KD;5;325;12;7
TOMAT SERVO 5 gr;LCQW2COQ;5;3250;12;7
TOMAT SERVO BULKY 20 KG;IEQQQ0FR;180;117;5;3
UBI CILEMBU 1 KG;LYPGZGVT;20;13;10;6
UBI CILEMBU 1 gr;X5P0SRQJ;2;13;12;7
UBI CILEMBU 250 gr;DRCQW8AL;5;3250;12;7
UBI CILEMBU 5 gr;RNMBNW9O;10;65;10;6
UBI CILEMBU BULKY 20 KG;B1ITDCAP;360;234;5;3
UBI MERAH 1 KG;GAYNEFAG;12;78;10;6
UBI MERAH 1 gr;3ZE02GD0;1;650;12;7
UBI MERAH 250 gr;TDKIIHIS;3;1950;12;7
UBI MERAH 5 gr;6JJ6NQGN;6;39;12;7
UBI MERAH BULKY 20 KG;TB0EZ3TC;216;1404;5;3
UBI PUTIH 1 KG;TKNIRJ2L;10;65;10;6
UBI PUTIH 1 gr;QUON4CAS;1;650;12;7
UBI PUTIH 250 gr;EHKYWU1S;25;1625;12;7
UBI PUTIH 5 gr;3LCL3A9G;5;3250;12;7
UBI PUTIH BULKY 20 KG;RPCNJWWH;180;117;5;3
Wortel Berastagi 1kg;WORTELBERASTAGI1KG-3058;14;91;8;4
WORTEL BRASTAGY 1 KG;BJDILK22;12;78;10;6
WORTEL BRASTAGY 1 gr;YKWWIJ01;1;650;12;7
WORTEL BRASTAGY 250 gr;ZZMGOG6Y;3;1950;12;7
WORTEL BRASTAGY 5 gr;GWXQJHQ6;6;39;12;7
WORTEL BRASTAGY BULKY 50 KG;VEYUPH4K;540;351;5;3
WORTEL DAERAH 1 KG;NKOFI2HA;9;5850;12;7
WORTEL DAERAH 1 gr;GL84GDXK;1;650;12;7
WORTEL DAERAH 250 gr;CY1ODZVF;25;1625;12;7
WORTEL DAERAH 5 gr;SWQ5DRMV;45;2925;12;7
WORTEL DAERAH BULKY 2 KG;S3EKYRIN;16;104;10;6
ZUKINI 1 KG;LLFYALXC;18;117;10;6
ZUKINI 1 gr;IBZF2Q4F;2;13;12;7
ZUKINI 250 gr;LOIGKFPP;45;2925;12;7
ZUKINI 5 gr;5C7WVF2O;9;5850;12;7
ZUKINI BULKY 20 KG;BA8CFJ6B;324;2106;5;3
